number,english,chinese
76,Fur,軟毛；毛皮
9,Download,下載
44,Powerful,強烈的;有影響
77,Awful,壞的；可怕的
10,Offline,離線的力的
78,Mess,把某事物搞糟
11,Champion,冠軍
45,Stomach,胃
79,Torn,撕;撕破
12,Latest,最新的
46,Muscles,肌肉
80,Toilet,抽水馬桶
13,Model,模型；型號
47,Support,支持；資助
81,Tricks,詭計；欺騙
14,Routes,路線
48,Movement,動作;移動;
82,However,然而
15,Racing,競賽
49,Important,重要的
83,Glad,高興的
16,Break record,打破記錄
50,Lying,說謊
84,Unforgettable,難忘的
17,Wireless,無線的；無線電
51,Position,位置；恰當位置
85,memory,記憶力；回憶的
52,Board,木板；公告牌
18,Wheel,車輪
53,Dry,弄乾
19,Perfect,完美的；精確的
54,Challenging,挑戰性的
20,Feed,餵
55,Impossible,不可能的
21,Earn,掙得；生;獲
56,Successful,成功的
22,Update,更新
57,Waves,波浪;揮手示意
23,Software,軟件
58,Hooked,鉤狀的；帶鉤的
24,Single,單一的
59,Through,穿過
25,Travel,旅行
60,Freedom,自由
26,Trip,旅行
61,Participants,參與者
27,Journey,旅行
62,Dangerous,危險的
28,Grasslands,草場
63,Especially,尤其；十分
29,Jungles,熱帶叢林
64,Prepared,準備;布置
30,Desert,沙漠
65,Risk/risky,有風險的
31,Amazing,使人十分驚奇
66,Trapped,陷入困境的；陷
32,Wild,野生的
67,Qualified,有資格的；勝任
33,Escape,逃跑;消失的
34,hunters,獵人
68,Avoid,避免；避開
35,dare,敢；竟敢
36,behaviour,行為；反應
1,Outdoor,戶外
37,Popular,流行的；受歡迎
48,Apologise,道歉
2,Tent,帳篷；帳棚的
49,Library,圖書館
3,Countryside,鄉村；郊外
38,Kilograms,千克；公斤
50,Upset,沮喪；難過
4,Independent,獨立的；自主的
39,Transformation,改革；轉
51,Score,得分
5,Experience,經驗；經歷變
52,Burst into tears （,突然）感
6,Organize,組織
40,Shapes,形狀傷而落淚
7,Overnight,晚上的；夜間的
41,Century （,一）世紀
53,Comfort,安慰；慰藉
8,Various,各種各樣的
42,Ingredients,成分；(烹調)
54,Thought,看法；思想
9,Voluntary,自願的；義務的材料
55,Suggested,提議的
10,Activities,活動
43,Surprisingly,出乎意料地
56,Teasing,嘲弄
11,Flag selling,賣旗
44,Therefore,因此；所以
57,Nasty,惹人生厭的
12,Elderly homes,護老院
45,Baker,麵包師傅
58,Regretted,遺憾的
13,Uniform,校服
46,Size,尺寸
59,Encourage,促進；鼓勵
14,Coach,教練
47,Vegetarians,素食主義者
15,Basic,基本的
16,Team,隊伍
17,Chance,機會
18,Represent,代表
19,Different,不同的
20,Competition,競爭；比賽
21,Pass,通過；合格
22,Fitness test,體能測試
23,Romance,浪漫氛圍；愛情
24,Action,行動
25,Comedy,喜劇
26,Movies,電影
27,Snacks,小食
28,Materials included,包含物
29,Miss,小姐；錯過
30,Invited,受邀的
31,Pottery,陶器；陶藝
32,Creative,富有新意的；創意的
33,Website,網站
34,Application form,申請表格
35,Completed,已完成的
36,Enquiries,調查；詢問
1,Discount,折扣
30,Hong Kong style,港式
53,Receive,收到
2,Alarm,鬧鐘
31,Important,重要的
54,Daily,日常的
3,Barking,瘋狂透頂的
32,Condensed milk,煉奶
55,Tennis,網球
4,Chase,追逐
33,Evaporated milk,淡奶
56,Practice,實踐；訓練
5,Direction,方向
34,Popular,流行的；受歡迎
57,Double-decker,雙層巴士
6,Numbers,數字；數目的
58,Vehicle,交通工具
7,Plants,植物
35,Oversea,海外的；外國的
59,Electric,用電的
8,Soil,土壤
36,Several,幾個；數個；一
60,Cable,電纜
9,Light,光；燈些
61,Sign,簽署
10,Night,夜晚
37,Boil,沸騰
62,Tracks,小道；小徑
11,Parrot,鸚鵡
38,Remove,移開；去掉
63,Chance,機會
12,Radio,廣播
39,Immediately,馬上；立刻
64,Allow,允許
13,Alone,獨自；孑然一身
40,Repeated,重複的
65,Prepare,準備
14,Shower,沐浴
41,Silk,絲綢
66,Canteen,餐廳
15,Sticks,枝條
42,Stocking,絲襪
67,Afterwards,以後；後來
16,Firmly,堅定地
43,Filter,過濾器
68,Rushed,倉促的；草率的
17,Waterproof,防水的
44,Smoother,更平滑；更順
69,Broom,掃把
18,Umbrella,雨傘滑
70,Bucket,桶（有提梁的）
19,Protect,保護
45,Smooth,平滑的；順滑的
71,Job,工作；職業
20,Free,免費的；自在的
46,Bubble,泡；氣泡
72,Slippers,拖鞋
21,Folded,有皺摺的
47,Tasty,美味的；可口的
73,Entrance,入口
22,Perfect,完美無瑕的
48,Unforgettable,難以忘懷
74,Worn,用壞的；用舊的
23,Hiking,遠足的
75,Revision,溫習
24,Picnic,野餐
49,Leaflet,傳單；小冊子
76,Silent,寧靜的
25,Outdoor,戶外
50,Magazine,雜誌
77,Postcard,明信片
26,Sports,體育運動
51,Diary,日記
27,Sizes,尺寸
52,Menu,選單；餐單
28,Offer,提供；出價
29,Enough,足夠的
1,Open day,開放日
32,Problem,問題
60,*Graduation,畢業
2,*Preparation,準備工作
33,Adult,成人
61,*Ceremony,典禮
3,Success,成功
34,Teenagers,年青人
62,*Representative,有代表
4,Principal,校長
35,In fact,事實上性的
5,Opportunity,機會
36,*According,根據
63,*Graduates,畢業生
6,Staff,員工
37,Report,報告
64,*Honored,榮譽
7,*Effort,努力
38,Enough,足夠
65,Thoughts,想法
8,*Facility/facilities,設施
39,Tend to,趨向
66,*Attend,出席
9,Language lab,語言學習
40,*Similar,相似的
67,Guests,嘉賓室
41,Useful,有用的
68,Pop singer,流行歌手
10,Paintings,繪畫
42,Tips,提點；小費
69,Nearby,鄰近的
11,Polite,禮貌的
43,Following,緊接的
70,Give up,放棄
12,Helpful,有用的；有幫助
44,Energy,能量
71,Difficulties,困難；措置的
45,*Wind down,平靜下來
72,Future,將來
13,Worried,擔憂的；發愁的
46,Quiet relaxing,平靜而放
73,*Blessings,祝福
14,Forget,忘記鬆的
74,Surprise,驚喜
15,Busy,忙碌
47,Difficult,困難
75,Certificate,證書
16,Projects,項目；工程
48,Surf,衝浪
76,Presenting,呈現
17,Practice,實踐；訓練
49,Internet,互聯網路
77,Accept,接受
18,*Backstage,後台
50,Chat,聊天
78,Shaking,搖動；顫動
19,Drama,戲劇
51,Challenge,挑戰
79,Tears,眼淚
20,Thumb up,豎起拇指
52,Habits,習慣；嗜好
80,*Laughter,笑聲
21,Hugged,擁抱
53,Healthy,健康的
81,*Precious,珍貴的
22,Excited,興奮的；激動的
54,*Recommend,推薦的
82,Speech,演講
23,*Familiar,熟悉的
55,Interesting,有趣的
83,Prizes,獎項
24,*Choir,合唱團
56,*Pattern,圖案
84,Nervous,緊張的
25,Performance,表演
57,Without,沒有
85,*Lonely,寂寞的
26,*Terrific,絕妙的；了不起
58,Calming down,冷靜下來
86,Proud,自豪的的
59,Daily routine,日復一日
87,*Bright,明亮的
27,Delightful,令人愉快的
28,Buddies,同伴
29,*Attractive,有吸引力的
30,Well-behaved,彬彬有禮
31,Disappointed,失望的
1,Contest,爭辯
36,Noticed,告示
62,Eye-catching,惹
87,Temperature,溫度
2,Afterwards,後來的人注目的
88,Hit,打擊
3,Chance,機會
37,Painted,著色
63,Serious,嚴肅的
89,Crowds,群眾
4,Tickets,入場券；票的
64,Black suits,黑色
90,Flocked,成群結隊
5,Venue,場地
38,Affect,影響西裝的
6,First come first serve,先到
39,Mood,心情
65,Appear,出現
91,Drove off,驅散先得
40,Behavior,行為
66,Powerful,強大的
92,Headed straight,勇
7,Watch videos,看短片
41,Calming,平靜
67,Waiters,侍應往直前
8,Fee,費用；酬金的
68,Enjoy,享受
93,Edge of a cliff,懸崖
9,Starting date,起始日
42,Causes,原因
69,Owners,持有者盡頭
10,Sick,生病的
43,Different,不同
70,Restaurant,餐廳
94,Beach beneath,海
11,Injured,受傷的的
71,Bright,明亮的灘之下？
12,First aid,急救
44,Feelings,感受
72,Soft,柔軟的
95,Lucky,幸運的
13,Instructors,講師；導師
45,Peaceful,和平
73,Comfortable,舒
96,Nobody,沒有人
14,Officers （,政府部門）官員的適的
97,Immediately,立刻
15,Red cross,紅十字會
46,Relaxed,放鬆
74,Focus,焦點地
16,Activity,活動的
75,Nervous,緊張的
98,Horn,號角（樂器）
17,Participants,參與者
47,Particular,特指
76,Sleepy,昏昏欲
99,Towards,對於；向
18,First aid kit,急救藥箱的睡的
100,Warn,警告
19,Available,有效的；可行的
48,Pay attention,集中精神
77,Popular,流行的
101,Medical check-up,體檢
20,Junior,資歷較淺者；初級集中精神
78,Customers,顧客體檢的
49,Explain,解釋
79,Fashion,時尚
102,Incident,事件
21,Senior,資歷較深者；高級
50,Weightlifters,舉重運動員
80,History,歷史
103,Planning,計劃的舉重選手
81,Meaning,意思
104,Brake hard,急剎車
22,Green environment,環境
51,Effect,影響；作
82,Mixing,混合的
105,Asleep,熟睡的綠化用
83,Company,公司
106,Slammed,猛烈抨擊
23,Important,重要的
52,Gym,健身
84,Manager,經理的
24,Protect,保護；防衛
53,Explain,解釋
85,Attending,注意
107,Brakes,剎車踏板
25,Nature,自然；天然的
54,Hospital,醫院的
108,Promise,承諾
26,Along,沿著
55,Performers,表
86,Important,重要
109,Careful,謹慎的
27,Countryside,鄉郊演者
110,Future,將來
28,Hiking,遠足
56,Stage,台階
111,Reporter,記者
29,Trails,蹤跡；鄉間小徑
57,Perform,表演
112,Crowded,擁擠的
30,Half of the fee,半價
58,Theatres,劇院
113,Beach,海灘
31,Donated,捐贈
59,Calm down,冷
114,Thankful,感激的
32,Charity,慈善機構靜
115,Diary,日記
33,Promoting,推廣
60,Opposite,相反
116,Focus,聚焦
34,Enquiries,查詢；案件調查的
117,Frightened,受驚
35,Application,申請；請求
61,Warmest,最溫的；害怕的暖的
118,Noise,噪音
1,Fever,發熱
41,Perhaps,也許
59,Quiz,課堂測考
2,Swallowing,吞嚥
42,Snacks,小吃
60,Contest,爭辯
3,Mindful,銘記在心的
43,Introduced,介紹
61,Station,車站
4,Spots,運動
44,Countries,國家
62,Victory,勝利
5,Crazy,瘋狂的
45,Invented,發明
63,Competitors,對手
6,Warm,溫暖的
46,Frozen,凍結的
64,Butterflies in our stomach,忐忑
7,Accepts,應允
47,Strips,條狀物；剝去(v.)不安
8,Fully,充分地
48,National,國家的；民族的
65,Teammates,隊友
9,Grown,成年的
49,Favourite,最喜愛的
66,Murmured,喃喃細語
10,Refuses,拒絕
50,Explanations,說明；解釋
67,Fault,責任；過錯
11,Clever,聰穎的
51,Soldiers,士兵
68,Silly,愚蠢的；傻的
12,Obedient,順從的
52,Travelled,旅行
69,Shame,羞愧
13,Comforting,令人安慰的
53,Savoring,盡情享受；仔細
70,Patted,輕拍一下
14,Changes,轉變品味
71,Gratefully,感激地
15,Treat,對待
54,Product,產品
72,Organized,有組織的
16,Enemy,敵人；敵軍
55,Culture,文化
73,Nervous,緊張的
17,Protect,保護
56,Expensive,昂貴的
74,Stomach-aches,腹痛；肚子痛
18,Shares,分享
57,Recipes,食譜；秘方
75,Encouraged,鼓勵；受鼓舞
19,Agree,同意
58,Century,世紀；百年
20,Present,出席
21,Bicycle,單車（自行車）
22,Wood,木
23,Magical,奇妙的
24,Real,真實的
25,Dragon,龍
26,Dinosaur,恐龍
27,Monster,怪獸
28,Crocodile,鱷魚
29,Ton,噸
30,Weighting,額外津貼
31,Greediest,貪婪的
32,Jungle,叢林
33,Secret,秘密
34,Cheating,作弊
35,Reduce,縮減
36,Amount,數目
37,Peace,和平
38,Faithful,忠誠的
39,Adventures,冒險
40,Funny tricks,滑稽的技法
